yaş,meslek,medeni_durum,eğitim,temerrüt,bakiye,konut_kredisi,ihtiyaç_kredisi,iletişim_tipi,gün,ay,arama_süresi_sn,kampanya_arama_sayısı,önceki_görüşmeden_geçen_gün,önceki_aramalar,önceki_kampanya_sonuç,vadeli_mevduat
58,yönetici,evli,üniversite,0,2143,1,0,0.0,5,mayıs,261,1,-1,0,bilinmiyor,0
44,teknisyen,bekar,lise,0,29,1,0,0.0,5,mayıs,151,1,-1,0,bilinmiyor,0
33,girişimci,evli,lise,0,2,1,1,0.0,5,mayıs,76,1,-1,0,bilinmiyor,0
47,vasıfsız işçi,evli,bilinmiyor,0,1506,1,0,0.0,5,mayıs,92,1,-1,0,bilinmiyor,0
33,bilinmiyor,bekar,bilinmiyor,0,1,0,0,0.0,5,mayıs,198,1,-1,0,bilinmiyor,0
35,yönetici,evli,üniversite,0,231,1,0,0.0,5,mayıs,139,1,-1,0,bilinmiyor,0
28,yönetici,bekar,üniversite,0,447,1,1,0.0,5,mayıs,217,1,-1,0,bilinmiyor,0
42,girişimci,boşanmış/ dul,üniversite,1,2,1,0,0.0,5,mayıs,380,1,-1,0,bilinmiyor,0
58,emekli,evli,ilkokul,0,121,1,0,0.0,5,mayıs,50,1,-1,0,bilinmiyor,0
43,teknisyen,bekar,lise,0,593,1,0,0.0,5,mayıs,55,1,-1,0,bilinmiyor,0
41,büro görevlisi,boşanmış/ dul,lise,0,270,1,0,0.0,5,mayıs,222,1,-1,0,bilinmiyor,0
29,büro görevlisi,bekar,lise,0,390,1,0,0.0,5,mayıs,137,1,-1,0,bilinmiyor,0
53,teknisyen,evli,lise,0,6,1,0,0.0,5,mayıs,517,1,-1,0,bilinmiyor,0
58,teknisyen,evli,bilinmiyor,0,71,1,0,0.0,5,mayıs,71,1,-1,0,bilinmiyor,0
57,hizmet sektörü,evli,lise,0,162,1,0,0.0,5,mayıs,174,1,-1,0,bilinmiyor,0
51,emekli,evli,ilkokul,0,229,1,0,0.0,5,mayıs,353,1,-1,0,bilinmiyor,0
45,büro görevlisi,bekar,bilinmiyor,0,13,1,0,0.0,5,mayıs,98,1,-1,0,bilinmiyor,0
57,vasıfsız işçi,evli,ilkokul,0,52,1,0,0.0,5,mayıs,38,1,-1,0,bilinmiyor,0
60,emekli,evli,ilkokul,0,60,1,0,0.0,5,mayıs,219,1,-1,0,bilinmiyor,0
33,hizmet sektörü,evli,lise,0,0,1,0,0.0,5,mayıs,54,1,-1,0,bilinmiyor,0
28,vasıfsız işçi,evli,lise,0,723,1,1,0.0,5,mayıs,262,1,-1,0,bilinmiyor,0
56,yönetici,evli,üniversite,0,779,1,0,0.0,5,mayıs,164,1,-1,0,bilinmiyor,0
32,vasıfsız işçi,bekar,ilkokul,0,23,1,1,0.0,5,mayıs,160,1,-1,0,bilinmiyor,0
25,hizmet sektörü,evli,lise,0,50,1,0,0.0,5,mayıs,342,1,-1,0,bilinmiyor,0
40,emekli,evli,ilkokul,0,0,1,1,0.0,5,mayıs,181,1,-1,0,bilinmiyor,0
44,büro görevlisi,evli,lise,0,-372,1,0,0.0,5,mayıs,172,1,-1,0,bilinmiyor,0
39,yönetici,bekar,üniversite,0,255,1,0,0.0,5,mayıs,296,1,-1,0,bilinmiyor,0
52,girişimci,evli,lise,0,113,1,1,0.0,5,mayıs,127,1,-1,0,bilinmiyor,0
46,yönetici,bekar,lise,0,-246,1,0,0.0,5,mayıs,255,2,-1,0,bilinmiyor,0
36,teknisyen,bekar,lise,0,265,1,1,0.0,5,mayıs,348,1,-1,0,bilinmiyor,0
57,teknisyen,evli,lise,0,839,0,1,0.0,5,mayıs,225,1,-1,0,bilinmiyor,0
49,yönetici,evli,üniversite,0,378,1,0,0.0,5,mayıs,230,1,-1,0,bilinmiyor,0
60,büro görevlisi,evli,lise,0,39,1,1,0.0,5,mayıs,208,1,-1,0,bilinmiyor,0
59,vasıfsız işçi,evli,lise,0,0,1,0,0.0,5,mayıs,226,1,-1,0,bilinmiyor,0
51,yönetici,evli,üniversite,0,10635,1,0,0.0,5,mayıs,336,1,-1,0,bilinmiyor,0
57,teknisyen,boşanmış/ dul,lise,0,63,1,0,0.0,5,mayıs,242,1,-1,0,bilinmiyor,0
25,vasıfsız işçi,evli,lise,0,-7,1,0,0.0,5,mayıs,365,1,-1,0,bilinmiyor,0
53,teknisyen,evli,lise,0,-3,0,0,0.0,5,mayıs,1666,1,-1,0,bilinmiyor,0
36,büro görevlisi,boşanmış/ dul,lise,0,506,1,0,0.0,5,mayıs,577,1,-1,0,bilinmiyor,0
37,büro görevlisi,bekar,lise,0,0,1,0,0.0,5,mayıs,137,1,-1,0,bilinmiyor,0
44,hizmet sektörü,boşanmış/ dul,lise,0,2586,1,0,0.0,5,mayıs,160,1,-1,0,bilinmiyor,0
50,yönetici,evli,lise,0,49,1,0,0.0,5,mayıs,180,2,-1,0,bilinmiyor,0
60,vasıfsız işçi,evli,bilinmiyor,0,104,1,0,0.0,5,mayıs,22,1,-1,0,bilinmiyor,0
54,emekli,evli,lise,0,529,1,0,0.0,5,mayıs,1492,1,-1,0,bilinmiyor,0
58,emekli,evli,bilinmiyor,0,96,1,0,0.0,5,mayıs,616,1,-1,0,bilinmiyor,0
36,büro görevlisi,bekar,ilkokul,0,-171,1,0,0.0,5,mayıs,242,1,-1,0,bilinmiyor,0
58,serbest meslek,evli,üniversite,0,-364,1,0,0.0,5,mayıs,355,1,-1,0,bilinmiyor,0
44,teknisyen,evli,lise,0,0,1,0,0.0,5,mayıs,225,2,-1,0,bilinmiyor,0
55,teknisyen,boşanmış/ dul,lise,0,0,0,0,0.0,5,mayıs,160,1,-1,0,bilinmiyor,0
29,yönetici,bekar,üniversite,0,0,1,0,0.0,5,mayıs,363,1,-1,0,bilinmiyor,0
54,vasıfsız işçi,evli,lise,0,1291,1,0,0.0,5,mayıs,266,1,-1,0,bilinmiyor,0
48,yönetici,boşanmış/ dul,üniversite,0,-244,1,0,0.0,5,mayıs,253,1,-1,0,bilinmiyor,0
32,yönetici,evli,üniversite,0,0,1,0,0.0,5,mayıs,179,1,-1,0,bilinmiyor,0
42,büro görevlisi,bekar,lise,0,-76,1,0,0.0,5,mayıs,787,1,-1,0,bilinmiyor,0
24,teknisyen,bekar,lise,0,-103,1,1,0.0,5,mayıs,145,1,-1,0,bilinmiyor,0
38,girişimci,bekar,üniversite,0,243,0,1,0.0,5,mayıs,174,1,-1,0,bilinmiyor,0
38,yönetici,bekar,üniversite,0,424,1,0,0.0,5,mayıs,104,1,-1,0,bilinmiyor,0
47,vasıfsız işçi,evli,bilinmiyor,0,306,1,0,0.0,5,mayıs,13,1,-1,0,bilinmiyor,0
40,vasıfsız işçi,bekar,bilinmiyor,0,24,1,0,0.0,5,mayıs,185,1,-1,0,bilinmiyor,0
46,hizmet sektörü,evli,ilkokul,0,179,1,0,0.0,5,mayıs,1778,1,-1,0,bilinmiyor,0
32,büro görevlisi,evli,üniversite,0,0,1,0,0.0,5,mayıs,138,1,-1,0,bilinmiyor,0
53,teknisyen,boşanmış/ dul,lise,0,989,1,0,0.0,5,mayıs,812,1,-1,0,bilinmiyor,0
57,vasıfsız işçi,evli,ilkokul,0,249,1,0,0.0,5,mayıs,164,1,-1,0,bilinmiyor,0
33,hizmet sektörü,evli,lise,0,790,1,0,0.0,5,mayıs,391,1,-1,0,bilinmiyor,0
49,vasıfsız işçi,evli,bilinmiyor,0,154,1,0,0.0,5,mayıs,357,1,-1,0,bilinmiyor,0
51,yönetici,evli,üniversite,0,6530,1,0,0.0,5,mayıs,91,1,-1,0,bilinmiyor,0
60,emekli,evli,üniversite,0,100,0,0,0.0,5,mayıs,528,1,-1,0,bilinmiyor,0
59,yönetici,boşanmış/ dul,üniversite,0,59,1,0,0.0,5,mayıs,273,1,-1,0,bilinmiyor,0
